在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
这样一来每年上万件此类货物运输的审批时间将比原来缩短80%。	这样一来每年上万件此类货物运输的审批时间将比原来缩短百分之八十。
晚走一天一天将近损失30万。	晚走一天一天将近损失三十万。
从事审判工作25年，他始终公正司法，所办的案件无一错案无一上访。	从事审判工作二十五年，他始终公正司法，所办的案件无一错案无一上访。
患尿毒症的最后4年里，他仍然带病坚持工作。	患尿毒症的最后四年里，他仍然带病坚持工作。
去年的9月1号是李庆军最后一次在单位加班，第二天他做了换肾手术。	去年的九月一号是李庆军最后一次在单位加班，第二天他做了换肾手术。
术后的第26天因病情恶化，李庆军不幸离世，年仅54岁。	术后的第二十六天因病情恶化，李庆军不幸离世，年仅五十四岁。
重乡情，但为案件说情打招呼的事儿，李庆军从来不干。	重乡情，但为案件说情打招呼的事，李庆军从来不干。
后来想了想，这不是庆军同学不近人情，而是80年前人人平等。	后来想了想，这不是庆军同学不近人情，而是八十年前人人平等。
2014年李庆军被确诊患有尿毒症。	二零一四年李庆军被确诊患有尿毒症。
我一到单位干起活来，那浑身是劲儿。	我一到单位干起活来，那浑身是劲。
李庆军去世后，家人在他的办公室里发现了19本日记。	李庆军去世后，家人在他的办公室里发现了十九本日记。
球拍霸是约200米长的直线加速器，球拍面是周长240米的存储环。	球拍霸是约两百米长的直线加速器，球拍面是周长两百四十米的存储环。
在地下6米深的隧道中，接近光速运行的正负电子，在这里每秒上亿次的对撞，不断探索着物质构成的奥秘。	在地下六米深的隧道中，接近光速运行的正负电子，在这里每秒上亿次的对撞，不断探索着物质构成的奥秘。
对撞机建造涉及10多个门类的高新技术，数千台设备，90%以上都靠国内自行设计制造。	对撞机建造涉及十多个门类的高新技术，数千台设备，百分之九十以上都靠国内自行设计制造。
1984年10月7号，北京政府电子对撞机工程破土动工。	一九八四年十月七号，北京政府电子对撞机工程破土动工。
在全国数百个单位上万人的精心研制安装调试下，1988年10月16号。	在全国数百个单位上万人的精心研制安装调试下，一九八八年十月十六号。
北京正负电子对撞机运行后，短短几年内就在20~50亿电子伏特这一能区取得一系列新发现。	北京正负电子对撞机运行后，短短几年内就在二十到五十亿电子伏特这一能区取得一系列新发现。
文章指出，中国有近14亿人口的大市场，有世界上规模最大的中等收入群体。	文章指出，中国有近十四亿人口的大市场，有世界上规模最大的中等收入群体。
本台消息对于激进示威者8月31号在香港多区实施违法及暴力行为。	本台消息对于激进示威者八月三十一号在香港多区实施违法及暴力行为。
为制止暴力事件恶化，警方在港铁旺角和太子站共拘捕63人。	为制止暴力事件恶化，警方在港铁旺角和太子站共拘捕六十三人。
此外，警方8月31号在铜锣湾和西环逮捕11人，并缴获大量假记者证。	此外，警方八月三十一号在铜锣湾和西环逮捕十一人，并缴获大量假记者证。
包括多位立法会议员在内的香港各界人士，今天强烈谴责8月31号在香港多地发生的暴力事件。	包括多位立法会议员在内的香港各界人士，今天强烈谴责八月三十一号在香港多地发生的暴力事件。
39名建制派立法会议员9月1号发表联署声明。	三十九名建制派立法会议员九月一号发表联署声明。
全港各区工商联9月1号也发表声明，对示威者不断将暴力升级，严重威胁警务人员及市民人身安全的行径。	全港各区工商联九月一号也发表声明，对示威者不断将暴力升级，严重威胁警务人员及市民人身安全的行径。
9月1号在澳门回归贺礼陈列馆开幕。本次展览由澳门特区政府、澳门中联办。	九月一号在澳门回归贺礼陈列馆开幕。本次展览由澳门特区政府、澳门中联办。
展览于9月1号至9号对公众开放。	展览于九月一号至九号对公众开放。
以及香港和澳门特别行政区。全天播音21小时分为新闻、财经、生活、文化、音乐等5大板块。	以及香港和澳门特别行政区。全天播音二十一小时分为新闻、财经、生活、文化、音乐等五大板块。
作为总台区域特色鲜明的传播平台，大湾区之声还将依托总台5g+4k8k加AI战略布局。	作为总台区域特色鲜明的传播平台，大湾区之声还将依托总台五g+四k八k加AI战略布局。
今天2019中国企业500强榜单正式出炉。	今天二零一九中国企业五百强榜单正式出炉。
本届入榜企业营业收入总额为79.10万亿元，较上年增长了11.14%。	本届入榜企业营业收入总额为七十九点一零万亿元，较上年增长了百分之十一点一四。
"实现净利润35,320.95亿元，较去年增长10.28%。"	"实现净利润三十五,三百二十点九五亿元，较去年增长百分之十点二八。"
企业在进口货物申报时，不再需要向海关一次性递交105项申报项目。	企业在进口货物申报时，不再需要向海关一次性递交一百零五项申报项目。
而是第一步申报9项内容，即可将货物提离港口，而后进行第二步补充申报。	而是第一步申报九项内容，即可将货物提离港口，而后进行第二步补充申报。
大大压缩了企业通关时间和成本，60万家外贸企业将因此受益。	大大压缩了企业通关时间和成本，六十万家外贸企业将因此受益。
共破获各类案件3万余起，抓获网上逃犯1.1万余人。	共破获各类案件三万余起，抓获网上逃犯一点一万余人。
缴获倒卖的车票及假票2.1万余张，查获各类易燃易爆危险品25万件。	缴获倒卖的车票及假票二点一万余张，查获各类易燃易爆危险品二十五万件。
去年的四五月份对美贸易下滑的比较厉害，有一个企业由于订单的数量减少，28条生产线。	去年的四五月份对美贸易下滑的比较厉害，有一个企业由于订单的数量减少，二十八条生产线。
他的公司总部虽然设在弗罗里达，但90%的产品都在中国生产。	他的公司总部虽然设在弗罗里达，但百分之九十的产品都在中国生产。
有87%的受访企业表示没有或没有计划将经营活动迁出中国。	有百分之八十七的受访企业表示没有或没有计划将经营活动迁出中国。
有82%的受访企业表示，2019年仍将中国列为公司的战略重点，甚至是首要战略重点。	有百分之八十二的受访企业表示，二零一九年仍将中国列为公司的战略重点，甚至是首要战略重点。
抗议首相约翰逊让议会在夏季休会结束后再度休会至10月14号。	抗议首相约翰逊让议会在夏季休会结束后再度休会至十月十四号。
美国德克萨斯州奥德萨市附近8月31号再度发生严重枪击事件。	美国德克萨斯州奥德萨市附近八月三十一号再度发生严重枪击事件。
事件中包括枪手在内的5人死亡，21人受伤。	事件中包括枪手在内的五人死亡，二十一人受伤。
之后枪手被击毙，枪手为一名30多岁的白人男性，身份和作案动机有待进一步调查。	之后枪手被击毙，枪手为一名三十多岁的白人男性，身份和作案动机有待进一步调查。
就在8月3号德州埃尔帕索市的一家沃尔玛超市发生一起针对外来移民的枪击事件造成22人死亡。	就在八月三号德州埃尔帕索市的一家沃尔玛超市发生一起针对外来移民的枪击事件造成二十二人死亡。
